track_name,artists,track_genre,album_name,Album Type,Total Tracks in Album,Available Markets,Album URL,Album Release Date,Track Duration (ms),popularity,Preview URL,explicit,External ID (ISRC),Track URL,Track Number,Track Type,Track URI,Is Local
Babu Samjho Ishare,"Kishore Kumar, Manna Dey, S. D. Burman","bangla pop, ghazal, hindi pop, bollywood, bangla pop, ghazal, bhajan, qawwali, ghazal",Chalti Ka Naam Gaadi,album,8,IN,https://open.spotify.com/album/6fDgdTncQer8TPTu8T7snN,1958-01-01,290053,31,,False,INH109631190,https://open.spotify.com/track/1bJlQgsxhbsmdt1TqutsR6,3,track,spotify:track:1bJlQgsxhbsmdt1TqutsR6,False
Eena Meena Deeka - Kishore Kumar,Kishore Kumar,"bangla pop, ghazal, hindi pop, bollywood",Aasha,album,8,IN,https://open.spotify.com/album/6GHKXPLj1S8nsksCpadL3w,1957-01-01,209533,25,,False,INH109543210,https://open.spotify.com/track/3wjA3CCRVHRXcKWx04HfSz,3,track,spotify:track:3wjA3CCRVHRXcKWx04HfSz,False
"Samne Ye Kaun Aya - From ""Jawani Diwani""","Kishore Kumar, R. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal, hindi pop, bangla pop, bollywood",Magical Moments,album,20,"AR, AU, AT, BE, BO, BR, BG, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, XK",https://open.spotify.com/album/4cawjUF7hOd1qghMx3mx9H,2014-10-14,252693,35,,False,INUM70500073,https://open.spotify.com/track/63jNdHwVEUb86K9DYHt3jy,15,track,spotify:track:63jNdHwVEUb86K9DYHt3jy,False
Mere Samnewali Khidki Mein,"Kishore Kumar, R. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal, hindi pop, bangla pop, bollywood",Padosan,album,8,IN,https://open.spotify.com/album/7yDr1qdkEKZPxxLo5tKpIg,1968-01-01,172570,52,,False,INH100251240,https://open.spotify.com/track/5ZMuv6ESQmOHfXrm8FFncr,1,track,spotify:track:5ZMuv6ESQmOHfXrm8FFncr,False
Roop Tera Mastana,"Kishore Kumar, S. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal",Aradhana,album,7,IN,https://open.spotify.com/album/6JMDMWGW8AZu0J2IRHUQWA,1969-09-27,225213,41,,False,INH109350770,https://open.spotify.com/track/1AlatlIkROgLvG6pgBBnAz,3,track,spotify:track:1AlatlIkROgLvG6pgBBnAz,False
Haal Kaisa Hai Janab Ka,"Asha Bhosle, Kishore Kumar, S. D. Burman","ghazal, marathi pop, bangla pop, bollywood, hindi pop, bangla pop, ghazal, hindi pop, bollywood, ghazal",Chalti Ka Naam Gaadi,album,8,IN,https://open.spotify.com/album/6fDgdTncQer8TPTu8T7snN,1958-01-01,264706,43,,False,INH109245330,https://open.spotify.com/track/3uvvmqUNKEzZtZWOQrQqq0,2,track,spotify:track:3uvvmqUNKEzZtZWOQrQqq0,False
Aa Chal Ke Tujhe,Kishore Kumar,"bangla pop, ghazal, hindi pop, bollywood",Door Gagan Ki Chhaon Mein,album,9,IN,https://open.spotify.com/album/6QMgNE34rBus3c16AERP4B,1964-01-01,279463,58,,False,INH109241860,https://open.spotify.com/track/53keqrDTkt1GE9hJgUoql4,1,track,spotify:track:53keqrDTkt1GE9hJgUoql4,False
"Dil Kya Kare - From ""Julie""",Kishore Kumar,"bangla pop, ghazal, hindi pop, bollywood",Timeless Kishore,album,15,"AE, AM, AR, AT, AZ, BA, BB, BE, BH, BR, BS, BY, CH, CL, CO, CW, CY, CZ, DE, DK, DZ, EE, EG, ES, FI, FJ, FR, GR, GY, HK, HR, HT, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KG, KW, KZ, LB, LK, LT, LU, LV, LY, MA, ME, MK, MX, MY, NL, NO, NZ, OM, PH, PK, PL, PT, QA, RO, RS, SA, SE, SG, SI, SK, TH, TJ, TN, TR, TT, TW, UA, UZ, VE, XK, ZA",https://open.spotify.com/album/2SqCHkwHu08ODngct8JRRv,2013-01-01,403040,40,,False,INP100300043,https://open.spotify.com/track/1nFdQ4ayzobh6DvQGA9FQH,3,track,spotify:track:1nFdQ4ayzobh6DvQGA9FQH,False
Neele Neele Ambar Par - Male Version,"Kalyanji-Anandji, Kishore Kumar","ghazal, bhajan, bangla pop, ghazal, hindi pop, bollywood",Kalaakaar (Original Motion Picture Soundtrack),album,8,"AR, AU, AT, BE, BO, BR, BG, CA, CL, CO, CR, CY, CZ, DK, DO, DE, EC, EE, SV, FI, FR, GR, GT, HN, HK, HU, IS, IE, IT, LV, LT, LU, MY, MT, MX, NL, NZ, NI, NO, PA, PY, PE, PH, PL, PT, SG, SK, ES, SE, CH, TW, TR, UY, US, GB, AD, LI, MC, ID, JP, TH, VN, RO, IL, ZA, SA, AE, BH, QA, OM, KW, EG, MA, DZ, TN, LB, JO, PS, IN, BY, KZ, MD, UA, AL, BA, HR, ME, MK, RS, SI, KR, BD, PK, LK, GH, KE, NG, TZ, UG, AG, AM, BS, BB, BZ, BT, BW, BF, CV, CW, DM, FJ, GM, GE, GD, GW, GY, HT, JM, KI, LS, LR, MW, MV, ML, MH, FM, NA, NR, NE, PW, PG, PR, WS, SM, ST, SN, SC, SL, SB, KN, LC, VC, SR, TL, TO, TT, TV, VU, AZ, BN, BI, KH, CM, TD, KM, GQ, SZ, GA, GN, KG, LA, MO, MR, MN, NP, RW, TG, UZ, ZW, BJ, MG, MU, MZ, AO, CI, DJ, ZM, CD, CG, IQ, LY, TJ, VE, ET, XK",https://open.spotify.com/album/3438iV4EeQYLyaqvT34AMa,1983-06-10,320000,63,,False,INS171600310,https://open.spotify.com/track/02zPo0Dt0R4TTFY5zLJZnK,1,track,spotify:track:02zPo0Dt0R4TTFY5zLJZnK,False
O Mere Dil Ke Chain,"Kishore Kumar, R. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal, hindi pop, bangla pop, bollywood",Mere Jeevan Saathi,album,8,IN,https://open.spotify.com/album/0LgDRtuJbng7HyGRHhdJGX,1972-01-01,276693,63,,False,INH109990260,https://open.spotify.com/track/6Frhkb7giXWjeJAX2dJT88,7,track,spotify:track:6Frhkb7giXWjeJAX2dJT88,False
Yeh Sham Mastani,"Kishore Kumar, R. D. Burman","bangla pop, ghazal, hindi pop, bollywood, ghazal, hindi pop, bangla pop, bollywood",Kati Patang,album,16,IN,https://open.spotify.com/album/1TLgl5iaW4vmy7R9BrmOey,1970-01-01,276855,64,,False,INH109438860,https://open.spotify.com/track/6UeEm5XPsleVD85kNHCu1n,12,track,spotify:track:6UeEm5XPsleVD85kNHCu1n,False
