Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
61123,2ua9TRSFVGeLMEfZE0HlDf,ZONE,E 〜Complete A side Singles〜,夢ノカケラ・・・,28,249626,FALSE,0.586,0.65,6,-6.688,1,0.0294,0.234,0,0.0955,0.492,118.15,4,j-idol
57096,2TCfkbqlIJbDpuy98asnoV,Sricharan Pakala;Sid Sriram,"Hrudayama (From ""Major - Telugu"")","Hrudayama (From ""Major - Telugu"")",60,214814,FALSE,0.551,0.416,4,-10.622,1,0.028,0.505,0,0.596,0.248,103.96,1,indie
16969,2cuPD2epKOW51aapIlMEak,Wolfgang Amadeus Mozart;Danielle Laval,Mozart: A Night of Classics,"9 Variations on ‘Lison dormait’ from ‘Julie’ by N. Dezède in C, K.264: 1. Theme : Andante",13,71680,FALSE,0.547,0.111,0,-22.313,1,0.0524,0.994,0.848,0.108,0.285,120.777,4,classical
113103,5AkoMexMFW2knOhHOuS9iV,Darlene Zschech,Revealing Jesus,In Jesus' Name - Live,48,599586,FALSE,0.423,0.714,7,-6.543,1,0.0398,0.000417,1.90E-06,0.131,0.0729,104.996,4,world-music
95252,7IIclpwV4gVb8Xpp3MafjC,Manolo Lezcano,Facetas,Amor Amor,34,295165,FALSE,0.662,0.448,3,-10.912,1,0.0346,0.359,3.90E-05,0.246,0.788,170.71,4,salsa
41252,1RAz4LEdDTC3MtuAoNRESu,The Damned,Damned Damned Damned,Neat Neat Neat,17,160760,FALSE,0.324,0.9,2,-8.261,1,0.0671,0.00206,0,0.0646,0.456,175.984,4,goth
43796,0AIHKTpBT2SudN5CTz9b0e,Purples,nada além de um instrumento,enquanto eu respirar,24,274093,FALSE,0.737,0.71,2,-5.567,0,0.0403,0.12,0,0.167,0.425,108.019,4,groove
56421,6BW2J9jf7C4J4Dn5BBn2pM,Sanah Moidutty,Sreeragamo (Rendition),Sreeragamo - Rendition,44,225463,FALSE,0.715,0.44,6,-8.986,0,0.0429,0.83,0.0213,0.0868,0.215,95.879,1,indie-pop
29278,0jitsmziKMI9MpzENnB0Tc,ILLENIUM;BANNERS,Fallen Embers (Deluxe Version),Hurts Like This,49,238095,FALSE,0.617,0.795,1,-4.567,0,0.0955,0.0411,0,0.0898,0.415,126.06,4,dubstep
45385,3tv8V2t1wYMJPiNU9sJKnn,Los Apus,Sunquyparurun,Queridos Amigos,26,342560,FALSE,0.579,0.68,0,-3.648,1,0.106,0.524,0.000335,0.0864,0.524,77.458,3,guitar
65066,5NbR7c5zrOZN3Dje3JVJEN,Jagjit Singh,Sarfarosh (Original Motion Picture Soundtrack),Hoshwalon Ko Khabar Kya,62,307000,FALSE,0.527,0.447,6,-12.014,1,0.0311,0.243,0,0.255,0.536,94.051,4,k-pop
16937,2C9ZfqsCQ2bSI51q4uJHaU,Wolfgang Amadeus Mozart;Florian Birsak,Mozart - All Day Classics,"Modulating Prelude, K.284a/2",24,42586,FALSE,0.534,0.15,0,-14.58,0,0.0422,0.984,0.2,0.248,0.53,84.359,4,classical
52781,4RRWdUBfKdN8SdPOIiu9by,George Jones,Too Wild Too Long,New Patches,11,193373,FALSE,0.618,0.342,0,-13.925,1,0.0292,0.345,0.000451,0.104,0.425,108.177,4,honky-tonk
57998,11TQiyteH2AdJKhxraxEKB,Sabino,Genaro Presenta: Este No Es el Disco,Roma (Lrdp Maqueta),53,206762,FALSE,0.732,0.686,7,-7.578,1,0.302,0.7,0.00329,0.369,0.877,92.104,4,indie
108668,3Dk42zmO4JdBzBmnWMeAOU,Lucio Demare;Horacio Quintana,Lucio Demare,Solamente Ella,17,198933,FALSE,0.559,0.177,6,-11.307,0,0.0436,0.978,0.0622,0.195,0.523,122.297,4,tango
48979,309VjyrEiYNIa30wxtNuaW,Hell Is For Heroes,Punk Rock Hits,I Can Climb Mountains,29,200600,TRUE,0.39,0.957,2,-4.393,1,0.0813,0.00217,0.000221,0.0931,0.3,87.046,4,hardcore
102963,0j2WBxWZnWti5TpSxjJvPb,John Mayer,Love on the Weekend,Love on the Weekend,61,212626,FALSE,0.729,0.546,7,-9.305,1,0.0285,0.547,0.00287,0.0651,0.406,119.941,4,songwriter
16955,1BqC5UsD8DH1LbZBqnzRSd,Wolfgang Amadeus Mozart;Arthur Grumiaux;Walter Klien,Mozart: A Night of Classics,"Sonata for Piano and Violin in E flat, K.481: 3b. Variation 1",18,61600,FALSE,0.365,0.136,3,-22.211,1,0.0502,0.984,0.473,0.163,0.546,79.275,4,classical
101728,28VIXuS4zgCK0MQyuggax8,Nature Sounds;Rain Sounds Lab;Rain,Tornado Rain Storm,Tornado Rain Storm,34,37333,FALSE,0.188,0.959,10,-28.842,0,0.0571,0.0888,0.992,0.592,0.00309,70.614,4,sleep
87789,13ycW95Yd1oKoCAQXAWvTq,Engenheiros Do Hawaii,Acústico - Novos Horizontes (Ao Vivo),Alívio Imediato - Ao Vivo,41,210650,FALSE,0.332,0.769,9,-4.984,1,0.0416,0.158,1.46E-06,0.704,0.35,175.938,4,r-n-b
63878,7suo0zOCgfIaSKSvOv3pRO,UNICORN,ケダモノの嵐 -UC30 若返る勤労 Remastered-,働く男,31,230466,FALSE,0.544,0.912,0,-4.878,1,0.0504,0.451,2.21E-05,0.348,0.618,166.036,4,j-rock
51718,20uFSAxK0ilztG3jr08XWf,Wisin & Yandel;Chris Brown;T-Pain,Regageton Para Niños,Algo Me Gusta De Ti,1,274946,FALSE,0.626,0.769,11,-5.296,0,0.0325,0.00291,0,0.0598,0.237,127.949,4,hip-hop
