Artist Name,Artist Genres,Popularity,Artist URL,Artist ID
Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",80,https://open.spotify.com/artist/0k17h0D3J5VfsdmQ1iZtE9,0k17h0D3J5VfsdmQ1iZtE9
Pritam,"filmi, indian instrumental, modern bollywood",90,https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU,1wRPtKGflJrBx9BmLsSwlU
Metro Boomin,rap,90,https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp,0iEtIxbK0KxaSlF7G42ZOp
trabbey,"lo-fi product, trap beats",50,https://open.spotify.com/artist/3njIliuv3ugKzuNZgEOZ6s,3njIliuv3ugKzuNZgEOZ6s
Tame Impala,"australian psych, modern rock, neo-psychedelic, rock",81,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb,5INjqkS1o8h1imAzPqGZBb
Coldplay,"permanent wave, pop",92,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,4gzpq5DPGxSnKTe4SA8HAU
Yo Yo Honey Singh,"filmi, hindi hip hop, modern bollywood",80,https://open.spotify.com/artist/7uIbLdzzSEqnX0Pkrb56cR,7uIbLdzzSEqnX0Pkrb56cR
Travis Scott,"rap, slap house",94,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,0Y5tJX1MQlPlqiwlOH1tJY
The Weeknd,"canadian contemporary r&b, canadian pop, pop",97,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ
Linkin Park,"alternative metal, nu metal, post-grunge, rap metal, rock",93,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,6XyY86QOPPrYVGvF9ch6wz
Vishal-Shekhar,"filmi, modern bollywood",80,https://open.spotify.com/artist/6Mv8GjQa7LKUGCAqa9qqdb,6Mv8GjQa7LKUGCAqa9qqdb
Atif Aslam,"classic pakistani pop, filmi, modern bollywood, sufi",80,https://open.spotify.com/artist/2oSONSC9zQ4UonDKnLqksx,2oSONSC9zQ4UonDKnLqksx
Shankar-Ehsaan-Loy,"filmi, modern bollywood",74,https://open.spotify.com/artist/0L5GV6LN8SWWUWIdBbTLTZ,0L5GV6LN8SWWUWIdBbTLTZ
Guns N' Roses,"glam metal, hard rock, rock",81,https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC,3qm84nBOXUEQ2vnTfUTTFC
Chris Brown,"r&b, rap",89,https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z,7bXgB6jMjp9ATFy66eO08Z
Kishore Kumar,"classic bollywood, filmi",77,https://open.spotify.com/artist/0GF4shudTAFv8ak9eWdd4Y,0GF4shudTAFv8ak9eWdd4Y
Phil Collins,"rock drums, soft rock",78,https://open.spotify.com/artist/4lxfqrEsLX6N1N4OCSkILp,4lxfqrEsLX6N1N4OCSkILp
David Gilmour,"album rock, art rock, classic rock, progressive rock, symphonic rock",62,https://open.spotify.com/artist/2FcC4sDMXme2ziI7tGKMK8,2FcC4sDMXme2ziI7tGKMK8
Eminem,"detroit hip hop, hip hop, rap",93,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,7dGJo4pcD2V6oG8kP0tJRR
Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze",87,https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj,1QAJqy2dA3ihHBFIHRphZj
KK,"filmi, modern bollywood",79,https://open.spotify.com/artist/4fEkbug6kZzzJ8eYX6Kbbp,4fEkbug6kZzzJ8eYX6Kbbp
d4vd,"bedroom pop, bedroom r&b",82,https://open.spotify.com/artist/5y8tKLUfMvliMe8IKamR32,5y8tKLUfMvliMe8IKamR32
Nirvana,"grunge, permanent wave, rock",84,https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh,6olE6TJLqED3rqDCT0FyPh
