Artist Name,Artist Genres,Popularity,Artist URL,Artist ID
Pink Floyd,"progressive rock, psychedelic rock, classic rock, symphonic rock, art rock, rock",78,https://open.spotify.com/artist/0k17h0D3J5VfsdmQ1iZtE9,0k17h0D3J5VfsdmQ1iZtE9
Pritam,"bollywood, hindi pop, desi, desi pop, sufi",87,https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU,1wRPtKGflJrBx9BmLsSwlU
Metro Boomin,,86,https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp,0iEtIxbK0KxaSlF7G42ZOp
The Weeknd,,96,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ
Travis Scott,rap,92,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,0Y5tJX1MQlPlqiwlOH1tJY
Tame Impala,"indie, psychedelic pop",79,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb,5INjqkS1o8h1imAzPqGZBb
Coldplay,,89,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,4gzpq5DPGxSnKTe4SA8HAU
Yo Yo Honey Singh,"bollywood, hindi hip hop, desi, hindi pop, punjabi pop, bhangra, desi pop, punjabi hip hop",78,https://open.spotify.com/artist/7uIbLdzzSEqnX0Pkrb56cR,7uIbLdzzSEqnX0Pkrb56cR
Guns N' Roses,"rock, glam metal, hard rock, classic rock",79,https://open.spotify.com/artist/3qm84nBOXUEQ2vnTfUTTFC,3qm84nBOXUEQ2vnTfUTTFC
Linkin Park,"nu metal, rap metal, rock, alternative metal",88,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,6XyY86QOPPrYVGvF9ch6wz
trabbey,freestyle,47,https://open.spotify.com/artist/3njIliuv3ugKzuNZgEOZ6s,3njIliuv3ugKzuNZgEOZ6s
XXXTENTACION,emo rap,86,https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4,15UsOTVnJzReFVN1VCnxy4
Shankar-Ehsaan-Loy,"bollywood, sufi, desi, hindi pop",72,https://open.spotify.com/artist/0L5GV6LN8SWWUWIdBbTLTZ,0L5GV6LN8SWWUWIdBbTLTZ
Shubh,"punjabi hip hop, punjabi pop, desi hip hop, desi, hindi hip hop",75,https://open.spotify.com/artist/5r3wPya2PpeTTsXsGhQU8O,5r3wPya2PpeTTsXsGhQU8O
Vishal-Shekhar,"bollywood, desi, hindi pop, desi pop",78,https://open.spotify.com/artist/6Mv8GjQa7LKUGCAqa9qqdb,6Mv8GjQa7LKUGCAqa9qqdb
Phil Collins,soft rock,76,https://open.spotify.com/artist/4lxfqrEsLX6N1N4OCSkILp,4lxfqrEsLX6N1N4OCSkILp
David Gilmour,"progressive rock, symphonic rock",57,https://open.spotify.com/artist/2FcC4sDMXme2ziI7tGKMK8,2FcC4sDMXme2ziI7tGKMK8
Atif Aslam,"bollywood, hindi pop, desi, sufi, qawwali, desi pop",78,https://open.spotify.com/artist/2oSONSC9zQ4UonDKnLqksx,2oSONSC9zQ4UonDKnLqksx
Nirvana,"grunge, rock",81,https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh,6olE6TJLqED3rqDCT0FyPh
Eminem,"rap, hip hop",90,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,7dGJo4pcD2V6oG8kP0tJRR
Kishore Kumar,"bangla pop, ghazal, hindi pop, bollywood",75,https://open.spotify.com/artist/0GF4shudTAFv8ak9eWdd4Y,0GF4shudTAFv8ak9eWdd4Y
Drake,"rap, hip hop",94,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4
KK,"bollywood, hindi pop, desi",77,https://open.spotify.com/artist/4fEkbug6kZzzJ8eYX6Kbbp,4fEkbug6kZzzJ8eYX6Kbbp
Mohit Chauhan,"bollywood, hindi pop, sufi, desi",75,https://open.spotify.com/artist/5GnnSrwNCGyfAU4zuIytiS,5GnnSrwNCGyfAU4zuIytiS
Cigarettes After Sex,dream pop,84,https://open.spotify.com/artist/1QAJqy2dA3ihHBFIHRphZj,1QAJqy2dA3ihHBFIHRphZj
Chris Brown,r&b,86,https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z,7bXgB6jMjp9ATFy66eO08Z
Daft Punk,"french house, electronic, electro",80,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,4tZwfgrHOc3mvqYlEYSvVi
Radiohead,"art rock, alternative rock",82,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,4Z8W4fKeB5YxbusRsdQVPb
d4vd,,78,https://open.spotify.com/artist/5y8tKLUfMvliMe8IKamR32,5y8tKLUfMvliMe8IKamR32
Post Malone,,87,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,246dkjvS1zLTtiykXe5h60
Trap Beats Pandits,freestyle,17,https://open.spotify.com/artist/0u4QnkIILo6KrTGES1Wcvp,0u4QnkIILo6KrTGES1Wcvp
Green Day,"punk, pop punk",80,https://open.spotify.com/artist/7oPftvlwr6VrsViSDV7fJY,7oPftvlwr6VrsViSDV7fJY
Queen,"classic rock, rock, glam rock",83,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,1dfeR4HaWDbWqFHLkxsg1d
Frank Ocean,,86,https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM,2h93pZq0e7k5yf4dywlkpM
The Chainsmokers,,80,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp,69GGBxA162lTqCwzJG5jLp
Salim–Sulaiman,"bollywood, sufi, desi, hindi pop, qawwali, desi pop",68,https://open.spotify.com/artist/6ohaQzKaXrobAL8paLSaxq,6ohaQzKaXrobAL8paLSaxq
Akon,,81,https://open.spotify.com/artist/0z4gvV4rjIZ9wHck67ucSV,0z4gvV4rjIZ9wHck67ucSV
The Beatles,"classic rock, psychedelic rock",83,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,3WrFJ7ztbogyGnTHbHJFl2
